Apps_for_Android games:0.039086495293410954 play:0.027380398163367913 graphics:0.019098439631799843 kindle:0.01865837372754966 addictive:0.016642423000770998 challenging:0.013169372386466819 coins:0.012719491417532104 addicting:0.012569538031656963 fire:0.012129381386432157 levels:0.010470528971236494 playing:0.008790344157624964 ads:0.008149246843292698 puzzles:0.00757045852804179 apps:0.006961664683180242 free:0.0063553829000004515 bingo:0.005191437786831427 mahjong:0.00408490427938715 download:0.0038547352854942808 faotd:0.003664358550262773 facebook:0.0035839228503506335 downloaded:0.0033334207578702936 hints:0.0030776781412221463 solitaire:0.0026848367451549377 android:0.002684051028123991 puzzle:0.002522622666449213 gameplay:0.002518265304355581 freezes:0.002406187713638002 unlock:0.0023563929624107727 played:0.002288453544692754 deleted:0.0022735840737065243 bought:0.002213128685807231 flappy:0.00219850355789423 upgrades:0.002143862885746005 awesome:0.0019689464748420074 tablet:0.0019680348882887924 price:0.001897726836834448 calculator:0.0018896289820825867 developer:0.0018822700426512327 quality:0.0018291993628096886 permissions:0.0017426443964223873 author:0.0017169068939310473 earn:0.0017094307464959762 bored:0.0016647667830220695 uninstall:0.0016147745519425032 sudoku:0.0016110782179102568 fit:0.0015997161396529302 years:0.0015775646578871593 reading:0.0015432291021792832 made:0.0015338842780930693 characters:0.0014981527752711131 gameloft:0.0014656318506725606 series:0.0014595791641121947 written:0.001456831998549028 addicted:0.0013909902175914142 crashes:0.0013612934086534067 brain:0.0013564690270244449 multiplayer:0.0013004678097761992 challenge:0.0012963462525765327 sims:0.0012742605594081413 uninstalling:0.0012726526413596587 tetris:0.001258972902288528 back:0.0012574675802720123 glitches:0.0012562069412767952 end:0.0012082891069824238 waster:0.0011953125558901005 crashing:0.001188497015335292 downloading:0.0011866489733741753 size:0.0011841285161692465 put:0.0011612568523722865 logos:0.0011197111874767425 minecraft:0.0011197111874767425 glu:0.001099209943063817 pou:0.001099209943063817 freecell:0.001099209943063817 apos:0.001099209943063817
Automotive oem:0.013559202305679034 honda:0.013132519183173479 engine:0.009682696165666754 vehicle:0.008473868993842363 headlights:0.008390574845979711 exhaust:0.007960270392724495 jeep:0.007783175371390961 installed:0.0070630591245354046 tire:0.0069440926515693824 headlight:0.006624354284652318 toyota:0.005957574752549322 factory:0.005270238733949219 dealer:0.005244270284829509 dealership:0.005036635986128607 muffler:0.005006259012577378 ford:0.004840888603450247 wiper:0.004770844813662358 nissan:0.00470032380920832 mats:0.004697779307713221 fit:0.004377103357025125 wipers:0.004358358138310435 dodge:0.004142824332360875 bumper:0.003796052921557435 fuel:0.0037352848686362915 chevy:0.003618989059365537 windshield:0.003614373320311929 crv:0.003575808563466657 acura:0.003575808563466657 acdelco:0.003575808563466657 installation:0.003545667131129221 gasket:0.003521780735286167 camry:0.0034514306058415606 gmc:0.0034514306058415606 civic:0.0033076887655322604 helmet:0.003142472266983184 subaru:0.0031216995478027276 cars:0.002976561388724692 kia:0.002958771361924807 cab:0.002930364425700744 detailer:0.0028606105596619934 altima:0.0028606105596619934 meguiar:0.0028606105596619934 delco:0.0028606105596619934 hitch:0.002771003580118721 trailer:0.002677258084599032 wheel:0.0026119321225036474 tranny:0.002518094347052385 atv:0.002518094347052385 gaskets:0.002518094347052385 passenger:0.002506813954149659 decal:0.0024920956843692346 motorcycle:0.0024341892569710376 lights:0.002385413953286635 torque:0.002285604989259898 trucks:0.002285604989259898 integra:0.002268264104318335 taillight:0.002268264104318335 buick:0.002268264104318335 silverado:0.002268264104318335 resistor:0.002268264104318335 alternator:0.002268264104318335 filter:0.002225604952876971 coupe:0.0021876424509745494 sealant:0.0021876424509745494 trunk:0.0021562366266976384 arnley:0.0021454307021035886 weathertech:0.0021454307021035886 mpg:0.0021454307021035886 kensun:0.0021454307021035886 dorman:0.0021454307021035886 ballasts:0.0021454307021035886 visors:0.0021454307021035886 steering:0.0020717327596867906 mirror:0.0020389401703384265 vehicles:0.001995629650663951
Baby diaper:0.030822924450485102 crib:0.030591148365384242 newborn:0.01639000075972109 seat:0.015989630859966474 pacifiers:0.015304447950642954 carseat:0.015108926519927962 sippy:0.014857138215663219 pacifier:0.014029539476833556 nipple:0.013310455358436247 diapers:0.012637284513557109 britax:0.011930751696680337 strollers:0.011870847558706083 infant:0.01171408976575023 medela:0.010858500120961685 graco:0.010791542681588035 babies:0.010112005973339258 avent:0.00971226519104388 swaddle:0.00971226519104388 gate:0.009580671930370188 teething:0.009495990774338742 teether:0.00863301508603126 toddler:0.008047030720210601 son:0.006524871472781931 highchair:0.006474597028431453 nursery:0.006340233746874683 daughter:0.006309786997544776 naps:0.006244467179264538 breast:0.0059992052554546415 bassinet:0.005835916123446369 potty:0.005662174888491398 tub:0.005599207952662184 boppy:0.005527997488256186 mam:0.005527997488256186 swaddling:0.005395429073759815 blanket:0.0052742081787684044 playtex:0.00523470351459081 latch:0.005143390129740376 nipples:0.005035392572506141 bottles:0.005020312395043955 bath:0.004996889116341378 recline:0.004818084641536316 swaddled:0.004818084641536316 reclined:0.004475128374656314 soothie:0.004316288500450808 wubbanub:0.004316288500450808 teethers:0.004316288500450808 diapering:0.004316288500450808 nuk:0.004316288500450808 prefolds:0.004316288500450808 feeding:0.004307693975858495 blankets:0.004117365099639087 breastfeeding:0.004033540011923588 bib:0.00382429500079948 carrier:0.003818158525694438 month:0.0036927514042202547 months:0.003619876477101691 toys:0.003595989708738147 evenflo:0.0034328060511903203 outgrew:0.0033248631660298673 carseats:0.0032371753074623374 snugride:0.0032371753074623374 prefold:0.0032371753074623374 blankie:0.0032371753074623374 colicky:0.0032371753074623374 sleepsacks:0.0032371753074623374 chicco:0.0032371753074623374 breastfed:0.0032371753074623374 milk:0.0030083593580795985 convertible:0.00300716434876844 rattle:0.002998308300811365 tray:0.002913373402742215 munchkin:0.0028438670417773506 burp:0.0028438670417773506 chair:0.002829350773846492 bottle:0.0027385144365510666
Beauty lotion:0.029351308255006515 scent:0.029187134246425443 shampoo:0.02833632645350585 smells:0.02768115835914981 conditioner:0.022807147310352615 dry:0.018433450734491822 smell:0.017384585799758875 fragrance:0.017085352895487734 oily:0.01660060858997972 perfume:0.015982992265978147 moisturizer:0.015044615500086643 curly:0.014595731113454682 acne:0.012972840616488249 greasy:0.01290730006958955 curls:0.011919662951704317 makeup:0.011591999661491777 polish:0.011431865846395778 lashes:0.010769044757900414 salon:0.010673396623975512 brush:0.01064997267858273 frizzy:0.01062666689369233 mascara:0.01062666689369233 tanning:0.009669350743813497 frizz:0.009632971465199982 cleanser:0.008998651650811746 serum:0.008998651650811746 products:0.008800772087224393 moisturizing:0.00866846083256007 bottle:0.008444337575201947 cream:0.008391064417022446 scalp:0.008360304531238328 cologne:0.00820905069170999 nail:0.007940794148998637 curl:0.007253657033352039 shiny:0.006930512281213011 lipstick:0.0068844363791718014 dryer:0.006804611318761807 face:0.0066020766106999465 perfumes:0.006230955597788392 nails:0.006219305123584013 shampoos:0.006085482865784787 gel:0.006060815987927552 comb:0.0059637509339471005 complexion:0.0059584702830419506 pores:0.0059584702830419506 spf:0.0057914516515340485 fragrances:0.0057914516515340485 opi:0.005780436183253133 brushes:0.005599815805913473 drying:0.0054544575223404645 redness:0.005432197053917876 straightener:0.005298665940531863 curling:0.00506833449763045 wavy:0.005053502655012804 oil:0.004900595163762493 moisturized:0.004711689734573539 eyelashes:0.004711689734573539 hydrating:0.004356025036447924 concealer:0.00433516212879468 eyeliner:0.00433516212879468 natural:0.004265159655043591 silky:0.004252457025971642 soap:0.00420149197217493 lotions:0.004163853387703085 breakouts:0.004103796254250072 moisturizers:0.0038788917012553595 eyeshadow:0.0038534285588482102 smooth:0.00373914296992522 scents:0.0036542229417580794 bristles:0.0036437931334449315 tan:0.0036403767177679816 wash:0.0036098933406744486 soft:0.003542877968547884 sunscreen:0.0035397927588551132 apply:0.0035329407080835827
Book reading:0.07845601593837792 author:0.07841114547478 characters:0.061121439943579554 written:0.0545541527116362 series:0.03635233275525636 reader:0.03535437670692012 writing:0.030843477872107086 interesting:0.030193195000968134 world:0.027431731077968174 enjoyed:0.02691227719764128 pages:0.026811047542114008 stories:0.025988871845965118 character:0.024679127319938734 history:0.022636868794626334 page:0.022586236911611088 information:0.021837188403431594 readers:0.0190293924360441 chapter:0.018407020613888065 plot:0.017245892126395462 price:0.016779615987616105 authors:0.0165826627196905 quality:0.01651091538991302 people:0.015710750058995807 understand:0.014323698448153269 romance:0.014115789562139453 chapters:0.014040333850457911 mystery:0.01329295384313972 lives:0.013205244989897575 writer:0.0131106079939323 fit:0.012977793471586849 novels:0.012912578676052252 end:0.012474989147475225 loved:0.012417411224974095 man:0.011743331759462133 learn:0.011686520336237493 ending:0.011651751247630166 god:0.011636834517020207 ideas:0.011382452856974467 fiction:0.011335653751051849 human:0.01118243789803063 relationship:0.011088106150528697 understanding:0.010952091754788043 subject:0.010707668029905606 bought:0.010584618104187185 war:0.010498440225913718 interested:0.010089702626860151 young:0.010006251972132748 writes:0.009906304801402319 finished:0.009899187586396374 size:0.009894055458287086 historical:0.009813596407505384 sense:0.009788956339620947 family:0.00972252355176175 works:0.009544514217998056 questions:0.009434229648418602 examples:0.00941250914841355 knowledge:0.009322133796347436 text:0.009247446645682883 interest:0.009216024765044888 events:0.009201795176623897 recipes:0.009200136865501269 published:0.009147112094876182 found:0.00912449883987865 wait:0.00907365126552996 illustrations:0.008893441604562385 children:0.00884524763893279 journey:0.00879627325985962 study:0.008713874927471894 forward:0.008690132885153485 felt:0.008673111075461062 reference:0.008613939270402719 heart:0.008586029603600834 guide:0.008556739365788857 personal:0.008452690135289313 insight:0.008431041830148752
CDs_and_Vinyl music:0.16597661792269422 albums:0.08506799411728547 tracks:0.08267201983002902 lyrics:0.07429550560883938 listen:0.07150975941140217 band:0.06194997382492351 rock:0.06135624043426606 vocals:0.06071219566075983 track:0.058094757019015786 listening:0.04578123935268844 heard:0.044678071467122216 recording:0.03695010330134031 sound:0.03688726622158381 voice:0.03378075012907412 quot:0.029898952828906318 record:0.029729863630952796 singing:0.029286563093340955 musical:0.02892211022439106 sounds:0.027580797869176835 cds:0.027219268706266984 recordings:0.02691384324364141 vocal:0.02660510304069553 recorded:0.026152505994060098 jazz:0.02606539577225289 singer:0.02582409334163935 disc:0.02579701692575652 tunes:0.024462856818651693 hear:0.023643509790818203 solo:0.02237171019554552 sing:0.022209655932756416 bands:0.021892636533620034 blues:0.021587344847485684 catchy:0.02100041457478701 listened:0.020964827090071254 melodies:0.020046410569581695 hits:0.019972838279875994 concert:0.019432833621206905 fan:0.01927739095510114 pop:0.018710781472856135 acoustic:0.01728237645174201 instrumental:0.017165878932077036 release:0.01716492449724805 artists:0.01668107073803948 melodic:0.016607154497252932 musicians:0.014971470500806626 fans:0.014736338510095382 sings:0.014716529004299362 listener:0.014627623214110572 piano:0.014453316483222739 released:0.01434453262884829 chorus:0.014109989316747812 musically:0.013994809036034981 punk:0.013932890693859428 collection:0.013810923401050489 arrangements:0.01368086674561452 records:0.01360712279496005 ballads:0.013358164873793573 instruments:0.01306691114959216 drums:0.012951483202055653 orchestra:0.012902826558509297 compilation:0.012836935708060585 melody:0.012768523108877557 classic:0.01255697360105834 singers:0.012396177823957652 songwriting:0.01236330087510879 ballad:0.01233275609762204 production:0.012259803088397437 live:0.012038884749283012 bass:0.011891371658789554 guitars:0.011668746742152014 riffs:0.01149593918295792 favorite:0.01146755000007996 dance:0.01140191535645878 soundtrack:0.011307457131802905 musicianship:0.01121406764911829
Cell_Phones_and_Accessorie iphone:0.0530776761199306 screen:0.026347100922250902 protector:0.025539219747139394 galaxy:0.021654541608717888 charger:0.018754270527751454 otterbox:0.018316523326433132 dropped:0.017137380434583228 charge:0.016600089411916978 battery:0.013870281991422893 protects:0.013467056090453861 samsung:0.013121846299745084 protection:0.012445607582045614 cases:0.012069918568646193 phones:0.01184462686082047 fits:0.011014722786292525 charging:0.01032066660435246 headset:0.010267652744779636 htc:0.009573869380186437 bluetooth:0.008111210548162074 cell:0.007775300909129186 verizon:0.007546773422088558 nokia:0.007500148399347123 buttons:0.007473343734146771 otter:0.006921300549577368 protectors:0.006773975389929241 blackberry:0.006392018898165293 bubbles:0.005789365084322746 pocket:0.005731671678525751 cover:0.005667527677542211 droid:0.005450036741355683 protective:0.005327201650694502 motorola:0.005248670477928606 protected:0.004799448367404048 fit:0.004777566550545652 protect:0.004746697221201902 lg:0.00474444263090081 headsets:0.00459025088218325 stylus:0.004546532428564061 rubber:0.004337764269040713 bulky:0.00429194175517239 charged:0.003935037059122535 charges:0.003928729764468764 clip:0.003919285998375819 edges:0.0038574199107796817 slim:0.0038396500203042687 chargers:0.003825259429394782 mobile:0.0036491351857166833 sprint:0.003632997343544653 kickstand:0.003568996246264567 sim:0.0035176208858771563 iphones:0.0034538592489229193 scratches:0.0034236160603596864 perfectly:0.003418279772992389 ear:0.0032713577203040047 drop:0.0031427238179166503 tpu:0.0030501062070267255 cracked:0.0030444102054108272 rubberized:0.002983901110489433 gs:0.002817336540747787 spigen:0.0027745486131089776 holster:0.0027517607554374563 smartphone:0.0027260476747037648 broke:0.0027216420463979213 texting:0.002718226871451762 unlocked:0.0027122197467136897 plastic:0.002681945741759745 defender:0.002646455582878838 grip:0.0026259933326487563 zagg:0.0026138797510687007 button:0.0026070583192116664 lifeproof:0.002603199970684121 reading:0.002600335406147958 cellphone:0.0025784862784276343 mah:0.002560110999742301 usb:0.0024844653263661424
Clothing_Shoes_and_Jewelry comfortable:0.059299110502461644 shoe:0.051290395955485506 size:0.042023452582722234 fit:0.0347172383804864 pair:0.03025491959861243 shirt:0.028143403647988556 boots:0.02549788350039534 wearing:0.0212494667775624 dress:0.01867161114554745 worn:0.017827759053696685 earrings:0.017660816320289617 jeans:0.01461478344610232 sandals:0.014282343221900152 feet:0.014169279968306055 bra:0.012531414740254716 bracelet:0.012516067195489389 wore:0.01242519646901294 socks:0.012416286730274692 cute:0.011679469589892535 necklace:0.011200561447998697 compliments:0.010851534476699847 heel:0.010772807105782224 costume:0.010714331655019031 sizing:0.010347304424044905 leather:0.010057009408907708 pants:0.00996680206204083 watches:0.009478505644973446 sole:0.009252653548789083 fabric:0.009177550418786082 color:0.009039228580693167 comfy:0.008494452818258955 toe:0.008372962354911952 waist:0.008144549404133533 slippers:0.007572793874045403 ordered:0.007314546385375274 shirts:0.007121918123896749 fits:0.0070206409085218115 jewelry:0.006883380203470886 foot:0.0068599964812565625 ring:0.0066452786534382385 pairs:0.0064217294717314145 wears:0.00618188091274539 leggings:0.005775239926001983 sizes:0.005680448728524098 sandal:0.005612007428599101 tight:0.00554638147691553 jacket:0.0053183261029859435 watch:0.005314163109483445 soles:0.005306624293445861 arch:0.005298608016074981 quality:0.005235162122208827 casual:0.005131573256614295 boot:0.005100949420714096 flattering:0.005012459156766481 colors:0.004929226236681491 soft:0.004870131967081434 warm:0.004802839819909589 sneakers:0.004774331897844678 stylish:0.004763071559910215 pendant:0.004349406754299998 outfit:0.00434345209801214 characters:0.004266517615699881 material:0.004236421179471703 reading:0.004194801387106977 bras:0.004123494949480278 nice:0.003955044702429173 narrow:0.0038947276403692847 sweater:0.0038905567416571835 cotton:0.0038760020227458915 clasp:0.0038730936858683796 wrist:0.003840761500284423 footbed:0.0037100074499891397 dressy:0.003687241743490242 skirt:0.003651872509999616 hat:0.003633323384612563
Digital_Music music:0.01802598254985658 lyrics:0.01131813488415709 listen:0.009779372340404536 heard:0.0075362208702687535 albums:0.007356581716217863 voice:0.006442475238977495 playlist:0.005818302572922228 vocals:0.00577520932868186 catchy:0.0055559811616355745 band:0.004811926038389695 tracks:0.004411469518890845 sing:0.00439000283681127 upbeat:0.004373793502794934 listening:0.004070547213212341 mp:0.004026160251407231 rock:0.003986692386654379 singing:0.0037611052074828775 sings:0.003670954805209123 singer:0.0036212776804550794 sounds:0.003087936733668816 rap:0.002847892056029115 artist:0.002815116134693232 ballad:0.0027569311661708256 track:0.002736913322531038 radio:0.002671613427106449 hear:0.002646285995200624 sung:0.002555029919462292 jazz:0.0025347943786612876 sound:0.0025142837409948275 spangled:0.002367033179011175 nastradamus:0.002367033179011175 bloops:0.002367033179011175 crusin:0.002367033179011175 underoath:0.002367033179011175 hackett:0.002367033179011175 listened:0.0023615127589617117 download:0.0022352665627922057 tune:0.0021174081474515374 ep:0.0021076751639588667 cher:0.002048206839750342 drums:0.0019734132468787508 talented:0.0018484625964070962 bluesy:0.0018279953674894744 dance:0.0018077707812728073 blues:0.001804821506823128 artists:0.0018047317592568633 funk:0.001802080359385272 falsetto:0.0017375089969608186 sounding:0.0017194125296920654 recording:0.0017092511695197571 groove:0.001707087460293696 soulful:0.001703327157752602 indie:0.0015911336395000386 bands:0.0015693268658143744 bleeps:0.0015611725729856444 songstress:0.0015611725729856444 pharrell:0.0015611725729856444 withers:0.0015611725729856444 pretenders:0.0015611725729856444 krall:0.0015611725729856444 yodeling:0.0015611725729856444 musicians:0.0015489973222559544 listens:0.0015365443243247558 knopfler:0.001478573897750367 lyrically:0.0014716389963158024 recorded:0.0014389956164495182 classic:0.0014322977976799994 record:0.0014308095730053774 released:0.0013915349812551202 guitarist:0.0013887082035471 rapping:0.0013860969622283015 vocal:0.0013678694819634146 bonnie:0.0013514005526779527 chorus:0.0013394068287975228 favorite:0.0012866626344026533
Electronic cable:0.04288359901044179 computer:0.03344611198685891 usb:0.033113888513423013 screen:0.02424554560308001 works:0.02284434347460211 tv:0.02276412592790137 sound:0.021884685131407164 ipod:0.021193486252190162 hdmi:0.02112362290323952 ipad:0.02092600517603208 speakers:0.02088810521265311 keyboard:0.020379000836706733 device:0.02035438169593764 gb:0.02029786699517045 adapter:0.019872518775991322 headphones:0.018840036242324748 battery:0.018549115619988663 plug:0.017750372100599245 drive:0.016442453936657976 wireless:0.01639866149810952 tablet:0.0162806700002478 pc:0.016029761782005103 card:0.01595271990313662 hd:0.01552837627316569 cables:0.015245773499857125 sony:0.015219370742546593 lens:0.014389922358226481 plugged:0.014223914406466132 software:0.013517787205162342 port:0.013356779140145022 router:0.01301292934364125 windows:0.012815828490995019 remote:0.012696408495641624 price:0.012592222043609604 unit:0.012349946147122391 signal:0.011064240279699872 canon:0.01102327941591744 external:0.01092228516601388 player:0.010898431825717465 speaker:0.010826895509645293 mouse:0.010813149076210182 setup:0.010741950856260202 audio:0.010627815163152015 cord:0.010465847186697208 nikon:0.0103709640594442 sd:0.010339991624190822 apple:0.01002817181422775 quality:0.009585113545554115 devices:0.009421841588200232 lcd:0.009363814866249494 cameras:0.008906384266129408 desktop:0.008809477695333228 receiver:0.008587299494356453 charger:0.008430051626489571 video:0.008267893808349852 logitech:0.008108173974434384 mac:0.008070166798459372 antenna:0.008031231758286654 gps:0.008003555802274387 mp:0.007864211101205266 ports:0.007631943842020962 installed:0.007476378792338217 charge:0.007348010420795662 worked:0.007220114198120557 asus:0.007174619864454559 macbook:0.007047593606141833 flash:0.007043125753954119 monitor:0.007014615414478676 connect:0.006971636179829292 zoom:0.006960758540392659 power:0.006890609463690008 files:0.006807333545910261 portable:0.006807105493638335 bluetooth:0.006716769982940141 mode:0.0064773046695644175
Grocery_and_Gourmet_Food flavors:0.02669551022259101 snack:0.026263925707293995 delicious:0.02209438225077728 tasting:0.02208215956536645 tea:0.021479029995995134 tastes:0.021112601139657388 chocolate:0.0204239368485067 flavored:0.01802321942474245 sugar:0.01732400674593651 tasted:0.013378578140551293 teas:0.01198499844578129 drink:0.011968751154146952 organic:0.011858803317802874 coffees:0.011107068792946685 sauce:0.010868483046121638 salty:0.010627301263253248 butter:0.01022460910771848 gluten:0.009981528511550772 tasty:0.00959701846793327 flavorful:0.008996767554259297 peanut:0.008692589498444918 sweetener:0.008682336060650386 milk:0.008651757615780435 spicy:0.008615612370029948 salt:0.008467010032910359 cocoa:0.008454212820797679 candies:0.008438412341811119 coconut:0.00839452626987179 keurig:0.008269650278183945 corn:0.008070257343501815 cereal:0.008069320994976053 creamy:0.008061109923216306 seasoning:0.0076611842541528365 aroma:0.007606134675055624 eat:0.007601390195410637 crunchy:0.007511124391138648 cinnamon:0.007511124391138648 bitter:0.007482791366211978 cookies:0.007329094552302934 almonds:0.0072205236206004265 texture:0.0071890229082095065 sodium:0.007016098374534113 grocery:0.006865863828328075 cup:0.006857889389036612 chewy:0.00667565677283383 crackers:0.0066292845785018845 yummy:0.0064760315175271775 rice:0.0064674755923384685 oatmeal:0.006230589702456251 starbucks:0.005867703358242188 drinker:0.005791839086331382 breakfast:0.005789070083172057 aftertaste:0.005703359597196023 calories:0.005681850075277936 cups:0.00538716350932005 candy:0.005257414465296812 healthy:0.005218566289721021 fruit:0.005166191400637988 decaf:0.005062533500989323 cereals:0.005062533500989323 caramel:0.004972224161315283 flour:0.00490626379433532 hazelnut:0.004813377050660391 sweetened:0.004813377050660391 roast:0.004743542357005333 chocolates:0.00471367010038505 iced:0.004578635530572827 pack:0.0045523191053781 tazo:0.0045502923598445995 granola:0.00446426604665556 syrup:0.004389983062339165 stevia:0.004357812494653432 flavoring:0.004357494827488589 vanilla:0.004278911819246924 caffeine:0.004145936198663663
